poinew_1,poinew_2,poinew_3
1.138069,-6.12258,-0.3263671
1.132863,-6.100494,1.432488
1.138777,-6.13831,-0.1089728
0.9716636,-5.242628,1.428681
1.120189,-6.08548,-1.657995
1.12407,-6.112557,0.1084842
1.117275,-6.081574,-1.427539
1.123093,-6.119253,0.3260531
1.117793,-6.090377,-1.203623
1.123601,-6.128045,0.545072
1.115795,-6.091458,-0.9808443
1.121643,-6.129424,0.7650958
1.120216,-6.127666,-0.7648521
1.122542,-6.146451,0.9896045
1.11467,-6.103349,-0.542806
1.125158,-6.166867,1.218506
1.111319,-6.097042,-0.324797
1.110164,-6.096743,1.430689
1.115912,-6.134378,-0.1088332
0.9530125,-5.244087,1.428164
1.099283,-6.091254,-1.658513
1.102726,-6.116444,0.1084842
1.095694,-6.08352,-1.427089
1.100312,-6.115273,0.3256343
1.096528,-6.094242,-1.203623
1.100794,-6.124086,0.5443748
1.094524,-6.095315,-0.9808443
1.099889,-6.131348,0.7648521
1.095319,-6.112,-0.7624147
1.099339,-6.14061,0.9880402
1.093709,-6.109164,-0.5429803
1.103625,-6.170757,1.218506
1.095299,-6.130375,-0.3263671
1.087164,-6.090988,1.428439
1.09379,-6.134299,-0.1087634
0.9336842,-5.241675,1.426611
1.07835,-6.096957,-1.65903
1.081369,-6.120255,0.1084842
1.074791,-6.089226,-1.427539
1.079652,-6.12301,0.3258437
1.073202,-6.086432,-1.201334
1.078719,-6.123966,0.5440261
1.073583,-6.101044,-0.9811571
1.080887,-6.148835,0.7665582
1.075693,-6.125562,-0.7636334
1.076533,-6.136627,0.9867887
1.070623,-6.109206,-0.5426316
1.082756,-6.17844,1.21927
1.071826,-6.122357,-0.325739
1.065896,-6.094746,1.428439
1.070994,-6.1302,-0.1086238
0.9157143,-5.246806,1.427128
1.054019,-6.089447,-1.655924
1.059658,-6.122023,0.1084493
1.054526,-6.098701,-1.428889
1.056912,-6.118869,0.325425
1.050887,-6.090324,-1.201334
1.055589,-6.123953,0.5436775
1.050879,-6.102992,-0.9808443
1.057395,-6.140833,0.7650958
1.051276,-6.111672,-0.7614397
1.054435,-6.136455,0.986163
1.047606,-6.103087,-0.5417601
1.059108,-6.176562,1.218125
1.050391,-6.132151,-0.3260531
1.042564,-6.092849,1.427089
1.047902,-6.124046,-0.1084493
0.894465,-5.232832,1.422469
1.032112,-6.08928,-1.654889
1.035543,-6.116008,0.1082747
1.031515,-6.098683,-1.427989
1.03588,-6.124491,0.3255297
1.029295,-6.09202,-1.200952
1.033211,-6.121706,0.5431546
1.027927,-6.096883,-0.9792799
1.034882,-6.144667,0.7650958
1.029198,-6.117442,-0.7616835
1.033665,-6.143993,0.9867887
1.026296,-6.106707,-0.5417601
1.035591,-6.168605,1.215835
1.02964,-6.139719,-0.3262624
1.020003,-6.088764,1.42529
1.027181,-6.131611,-0.1085191
